name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/large/d15112.tsp,15112,Nearest neighbor (NN),1960503.00,0.438597,1st improv 2opt,1675314.00,7681.150772,0,2
instances/large/d15112.tsp,15112,Nearest neighbor (NN),1960503.00,0.438380,Best improv 2opt,1659003.00,6870.271403,0,2
instances/large/usa13509.tsp,13509,Nearest neighbor (NN),24973211.00,0.403820,1st improv 2opt,21465450.00,5007.632032,0,3
instances/large/usa13509.tsp,13509,Nearest neighbor (NN),24973211.00,0.403737,Best improv 2opt,21119835.00,4773.883211,0,3
instances/large/brd14051.tsp,14051,Nearest neighbor (NN),585382.00,0.451897,1st improv 2opt,498425.00,5484.656980,0,4
instances/large/brd14051.tsp,14051,Nearest neighbor (NN),585382.00,0.452828,Best improv 2opt,493948.00,4794.315764,0,4
instances/large/d18512.tsp,18512,Nearest neighbor (NN),799220.00,0.795959,1st improv 2opt,685771.00,13834.881076,0,5
instances/large/d18512.tsp,18512,Nearest neighbor (NN),799220.00,0.795957,Best improv 2opt,678841.00,10841.445559,0,5
