0.000001	0
0.000419	10
0.000777	20
0.00127	30
0.001432	40
0.001736	50
0.004669	60
0.002854	70
0.00443	80
0.00462	90
0.005102	100
0.000001	0
0.000425	10
0.000778	20
0.001107	30
0.001426	40
0.001792	50
0.002521	60
0.002311	70
0.004881	80
0.004915	90
0.0031	100
0.000001	0
0.000423	10
0.000781	20
0.001772	30
0.002806	40
0.002984	50
0.00229	60
0.002303	70
0.002751	80
0.002832	90
0.005028	100
0.000421	10
0.000782	20
0.001121	30
0.001428	40
0.00173	50
0.004824	60
0.0023	70
0.002568	80
0.004403	90
0.005632	100
0.000001	0
0.000423	10
0.001341	20
0.001621	30
0.001437	40
0.004026	50
0.002601	60
0.004862	70
0.00257	80
0.002829	90
0.003092	100
0.000597	10
0.000782	20
0.001119	30
0.001425	40
0.001815	50
0.003446	60
0.003881	70
0.005531	80
0.002835	90
0.00513	100
0.000001	0
0.000421	10
0.000785	20
0.001117	30
0.001426	40
0.001768	50
0.002578	60
0.002289	70
0.004865	80
0.005306	90
0.005017	100
0.000001	0
0.000421	10
0.00078	20
0.00112	30
0.001428	40
0.00263	50
0.002034	60
0.002299	70
0.002574	80
0.008715	90
0.00499	100
0.000001	0
0.000424	10
0.00078	20
0.001703	30
0.00143	40
0.00181	50
0.004986	60
0.005022	70
0.003833	80
0.004527	90
0.003092	100
0.000422	10
0.00078	20
0.001125	30
0.001431	40
0.001731	50
0.004778	60
0.002294	70
0.002569	80
0.008241	90
0.003093	100
0.000001	0
0.000419	10
0.000779	20
0.001116	30
0.001429	40
0.001735	50
0.002034	60
0.00403	70
0.002573	80
0.002914	90
0.007665	100
0.000001	0
0.000419	10
0.001027	20
0.001213	30
0.002957	40
0.001733	50
0.002023	60
0.003499	70
0.004269	80
0.007903	90
0.003103	100
0.000001	0
0.00042	10
0.000776	20
0.001116	30
0.001587	40
0.002028	50
0.005072	60
0.002303	70
0.002567	80
0.002814	90
0.021195	100
0.000001	0
0.000422	10
0.000782	20
0.001737	30
0.00144	40
0.001731	50
0.004004	60
0.004541	70
0.005923	80
0.01093	90
0.005597	100
0.000001	0
0.000423	10
0.000785	20
0.001116	30
0.001442	40
0.001732	50
0.002904	60
0.004082	70
0.002577	80
0.006249	90
0.004665	100
0.000001	0
0.00042	10
0.000785	20
0.001431	30
0.001434	40
0.003113	50
0.002027	60
0.003474	70
0.005699	80
0.00284	90
0.003088	100
0.000001	0
0.000422	10
0.000781	20
0.00273	30
0.001431	40
0.002052	50
0.002016	60
0.00439	70
0.002568	80
0.007391	90
0.006776	100
0.000001	0
0.00042	10
0.000782	20
0.001123	30
0.001423	40
0.002076	50
0.003283	60
0.002933	70
0.002567	80
0.00283	90
0.003089	100
0.000421	10
0.000776	20
0.001114	30
0.001433	40
0.00173	50
0.003364	60
0.004626	70
0.007728	80
0.003894	90
0.003098	100
0.000001	0
0.000663	10
0.00078	20
0.001118	30
0.001436	40
0.001738	50
0.003356	60
0.002308	70
0.002579	80
0.002835	90
0.008903	100
0.000421	10
0.000783	20
0.002004	30
0.001433	40
0.001736	50
0.003789	60
0.002308	70
0.008625	80
0.011746	90
0.004029	100
0.000001	0
0.000421	10
0.000778	20
0.001117	30
0.001433	40
0.001736	50
0.00202	60
0.002297	70
0.002566	80
0.011363	90
0.007934	100
0.000423	10
0.000786	20
0.001117	30
0.001438	40
0.002384	50
0.005085	60
0.002306	70
0.002836	80
0.010882	90
0.006315	100
0.000001	0
0.000421	10
0.000779	20
0.001908	30
0.001429	40
0.001726	50
0.002951	60
0.003274	70
0.007529	80
0.002835	90
0.013376	100
0.000001	0
0.000421	10
0.000779	20
0.00112	30
0.001433	40
0.002743	50
0.002023	60
0.004455	70
0.002568	80
0.002839	90
0.003098	100
0.000001	0
0.000423	10
0.000778	20
0.001118	30
0.001429	40
0.002665	50
0.007893	60
0.00273	70
