name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),455281.00,0.003226,None,0.00,0.000002,14,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),501184.00,0.003177,None,0.00,0.000002,16,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),511249.00,0.003093,None,0.00,0.000002,18,11
instances/small/pr439.tsp,439,Random Nearest Neighbor (RNN),575622.00,0.003472,None,0.00,0.000001,20,11
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),10229.00,0.000060,None,0.00,0.000001,10,12
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),12808.00,0.000059,None,0.00,0.000002,12,12
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11420.00,0.000070,None,0.00,0.000001,14,12
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11466.00,0.000068,None,0.00,0.000001,16,12
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11210.00,0.000058,None,0.00,0.000001,18,12
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),12208.00,0.000064,None,0.00,0.000002,20,12
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),10569.00,0.000067,None,0.00,0.000001,10,13
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),12031.00,0.000064,None,0.00,0.000000,12,13
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11827.00,0.000065,None,0.00,0.000001,14,13
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11742.00,0.000064,None,0.00,0.000001,16,13
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),13321.00,0.000065,None,0.00,0.000002,18,13
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),13133.00,0.000066,None,0.00,0.000001,20,13
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),10497.00,0.000067,None,0.00,0.000002,10,14
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11336.00,0.000064,None,0.00,0.000001,12,14
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11120.00,0.000064,None,0.00,0.000000,14,14
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),12147.00,0.000064,None,0.00,0.000002,16,14
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),13977.00,0.000067,None,0.00,0.000002,18,14
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),12424.00,0.000063,None,0.00,0.000001,20,14
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11085.00,0.000064,None,0.00,0.000001,10,15
instances/small/berlin52.tsp,52,Random Nearest Neighbor (RNN),11923.00,0.000063,None,0.00,0.000001,12,15
