name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35480633.00,4.043362,None,0.00,0.000001,20,9
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19074309.00,3.909077,None,0.00,0.000001,10,10
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22393220.00,3.922386,None,0.00,0.000001,12,10
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25784087.00,3.961493,None,0.00,0.000001,14,10
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29138981.00,3.999033,None,0.00,0.000002,16,10
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32316121.00,4.031114,None,0.00,0.000002,18,10
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35476856.00,4.060189,None,0.00,0.000001,20,10
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),19157257.00,3.915319,None,0.00,0.000001,10,11
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),22439454.00,3.930069,None,0.00,0.000002,12,11
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),25812612.00,3.955273,None,0.00,0.000002,14,11
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),29125741.00,4.051637,None,0.00,0.000001,16,11
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),32256338.00,4.039425,None,0.00,0.000001,18,11
instances/large/d15112.tsp,15112,Random Nearest Neighbor (RNN),35599125.00,4.053296,None,0.00,0.000002,20,11
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),6214272.00,3.377768,None,0.00,0.000001,10,12
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),7347235.00,3.410451,None,0.00,0.000002,12,12
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),8404692.00,3.456303,None,0.00,0.000002,14,12
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),9456475.00,3.488175,None,0.00,0.000001,16,12
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),10498669.00,3.481905,None,0.00,0.000002,18,12
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),11547508.00,3.520666,None,0.00,0.000001,20,12
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),6190727.00,3.386175,None,0.00,0.000001,10,13
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),7332503.00,3.416159,None,0.00,0.000002,12,13
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),8438197.00,3.456625,None,0.00,0.000002,14,13
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),9451365.00,3.472414,None,0.00,0.000002,16,13
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),10520341.00,3.497571,None,0.00,0.000001,18,13
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),11533156.00,3.542494,None,0.00,0.000001,20,13
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),6226687.00,3.379366,None,0.00,0.000001,10,14
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),7354226.00,3.400539,None,0.00,0.000001,12,14
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),8431288.00,3.452674,None,0.00,0.000001,14,14
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),9499005.00,3.486656,None,0.00,0.000002,16,14
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),10484346.00,3.477400,None,0.00,0.000001,18,14
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),11545572.00,3.507194,None,0.00,0.000002,20,14
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),6237505.00,3.404054,None,0.00,0.000002,10,15
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),7311304.00,3.419397,None,0.00,0.000001,12,15
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),8428232.00,3.444470,None,0.00,0.000002,14,15
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),9512447.00,3.478910,None,0.00,0.000001,16,15
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),10500672.00,3.497598,None,0.00,0.000001,18,15
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),11533016.00,3.525314,None,0.00,0.000002,20,15
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),6260422.00,3.399892,None,0.00,0.000001,10,16
instances/large/brd14051.tsp,14051,Random Nearest Neighbor (RNN),7346682.00,3.396158,None,0.00,0.000001,12,16
