name,n,constructive method, constructive distance, constructive calc time, local search method, localsearch distance, localsearch time, alpha, random seed
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),883362.00,0.073534,None,0.00,0.000002,20,9
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),485453.00,0.073484,None,0.00,0.000001,10,10
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),572142.00,0.066599,None,0.00,0.000002,12,10
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),661043.00,0.070869,None,0.00,0.000002,14,10
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),730461.00,0.073452,None,0.00,0.000002,16,10
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),814983.00,0.069649,None,0.00,0.000002,18,10
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),878987.00,0.070147,None,0.00,0.000002,20,10
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),498638.00,0.056305,None,0.00,0.000002,10,11
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),579222.00,0.069725,None,0.00,0.000002,12,11
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),657153.00,0.069672,None,0.00,0.000001,14,11
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),739751.00,0.070663,None,0.00,0.000003,16,11
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),815476.00,0.069694,None,0.00,0.000002,18,11
instances/medium/d2103.tsp,2103,Random Nearest Neighbor (RNN),889077.00,0.072349,None,0.00,0.000002,20,11
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),237331.00,0.020063,None,0.00,0.000002,10,12
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),275109.00,0.021146,None,0.00,0.000002,12,12
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),299073.00,0.019818,None,0.00,0.000001,14,12
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),344986.00,0.021424,None,0.00,0.000000,16,12
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),375716.00,0.022434,None,0.00,0.000001,18,12
instances/medium/pcb1173.tsp,1173,Random Nearest Neighbor (RNN),412987.00,0.022744,None,0.00,0.000002,20,12
